5.439614 0.000000 0.000000
0.000000 7.716358 0.000000
0.000000 0.000000 5.453900
-1.000000 0.000000 0.000000
0.000000 0.000000 -1.000000
0.000000 -5.000000 0.000000
-0.021850 -3.750000 -0.995513 Pr
-0.021850 -2.750000 -0.995513 Gd
-0.021850 -1.750000 -0.995513 Sr
-0.021850 -0.750000 -0.995513 Pr
-0.021850 -4.750000 -0.995513 Sr
-0.521850 -3.750000 -0.504487 Gd
-0.521850 -2.750000 -0.504487 La
-0.521850 -1.750000 -0.504487 Pr
-0.521850 -0.750000 -0.504487 La
-0.521850 -4.750000 -0.504487 La
-0.478150 -4.250000 -0.495513 Sr
-0.478150 -3.250000 -0.495513 Pr
-0.478150 -2.250000 -0.495513 Gd
-0.478150 -1.250000 -0.495513 Sr
-0.478150 -0.250000 -0.495513 Y
-0.978150 -4.250000 -0.004487 Y
-0.978150 -3.250000 -0.004487 Y
-0.978150 -2.250000 -0.004487 Y
-0.978150 -1.250000 -0.004487 Gd
-0.978150 -0.250000 -0.004487 La
-0.500000 -4.000000 -1.000000 Co
-0.500000 -3.000000 -1.000000 Fe
-0.500000 -2.000000 -1.000000 Fe
-0.500000 -1.000000 -1.000000 Fe
-0.500000 -5.000000 -1.000000 Co
-0.500000 -2.500000 -1.000000 Fe
-0.500000 -1.500000 -1.000000 Fe
-0.500000 -0.500000 -1.000000 Fe
-0.500000 -4.500000 -1.000000 Fe
-0.500000 -3.500000 -1.000000 Fe
-1.000000 -4.000000 -0.500000 Co
-1.000000 -3.000000 -0.500000 Fe
-1.000000 -2.000000 -0.500000 Fe
-1.000000 -1.000000 -0.500000 Fe
-1.000000 -5.000000 -0.500000 Co
-1.000000 -2.500000 -0.500000 Fe
-1.000000 -1.500000 -0.500000 Fe
-1.000000 -0.500000 -0.500000 Fe
-1.000000 -4.500000 -0.500000 Fe
-1.000000 -3.500000 -0.500000 Fe
-0.508840 -3.250000 -0.936194 O
-0.508840 -2.250000 -0.936194 O
-0.508840 -1.250000 -0.936194 O
-0.508840 -0.250000 -0.936194 O
-0.508840 -4.250000 -0.936194 O
-0.008840 -3.250000 -0.563806 O
-0.008840 -2.250000 -0.563806 O
-0.008840 -1.250000 -0.563806 O
-0.008840 -0.250000 -0.563806 O
-0.008840 -4.250000 -0.563806 O
-0.991160 -3.750000 -0.436194 O
-0.991160 -2.750000 -0.436194 O
-0.991160 -1.750000 -0.436194 O
-0.991160 -0.750000 -0.436194 O
-0.991160 -4.750000 -0.436194 O
-0.491160 -3.750000 -0.063806 O
-0.491160 -2.750000 -0.063806 O
-0.491160 -1.750000 -0.063806 O
-0.491160 -0.750000 -0.063806 O
-0.491160 -4.750000 -0.063806 O
-0.777809 -3.965866 -0.777453 O
-0.777809 -2.965866 -0.777453 O
-0.777809 -1.965866 -0.777453 O
-0.777809 -0.965866 -0.777453 O
-0.777809 -4.965866 -0.777453 O
-0.777809 -2.534134 -0.777453 O
-0.777809 -1.534134 -0.777453 O
-0.777809 -0.534134 -0.777453 O
-0.777809 -4.534134 -0.777453 O
-0.777809 -3.534134 -0.777453 O
-0.277809 -3.965866 -0.722547 O
-0.277809 -2.965866 -0.722547 O
-0.277809 -1.965866 -0.722547 O
-0.277809 -0.965866 -0.722547 O
-0.277809 -4.965866 -0.722547 O
-0.277809 -2.534134 -0.722547 O
-0.277809 -1.534134 -0.722547 O
-0.277809 -0.534134 -0.722547 O
-0.277809 -4.534134 -0.722547 O
-0.277809 -3.534134 -0.722547 O
-0.722191 -4.465866 -0.277453 O
-0.722191 -3.465866 -0.277453 O
-0.722191 -2.465866 -0.277453 O
-0.722191 -1.465866 -0.277453 O
-0.722191 -0.465866 -0.277453 O
-0.722191 -3.034134 -0.277453 O
-0.722191 -2.034134 -0.277453 O
-0.722191 -1.034134 -0.277453 O
-0.722191 -0.034134 -0.277453 O
-0.722191 -4.034134 -0.277453 O
-0.222191 -4.465866 -0.222547 O
-0.222191 -3.465866 -0.222547 O
-0.222191 -2.465866 -0.222547 O
-0.222191 -1.465866 -0.222547 O
-0.222191 -0.465866 -0.222547 O
-0.222191 -3.034134 -0.222547 O
-0.222191 -2.034134 -0.222547 O
-0.222191 -1.034134 -0.222547 O
-0.222191 -0.034134 -0.222547 O
-0.222191 -4.034134 -0.222547 O
